"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
111,21 Nov 2023 11:14:59.252,21 Nov 2023 11:42:46.609,1667.357
112,21 Nov 2023 13:21:29.213,21 Nov 2023 13:39:17.633,1068.420
113,22 Nov 2023 02:00:24.525,22 Nov 2023 02:11:02.944,638.419
114,22 Nov 2023 03:54:10.809,22 Nov 2023 04:20:21.314,1570.505
115,22 Nov 2023 05:53:07.814,22 Nov 2023 06:24:34.026,1886.212
116,22 Nov 2023 07:54:16.746,22 Nov 2023 08:27:01.113,1964.367
117,22 Nov 2023 09:57:02.280,22 Nov 2023 10:27:49.638,1847.358
118,22 Nov 2023 12:01:39.635,22 Nov 2023 12:26:19.125,1479.490
119,23 Nov 2023 02:40:39.927,23 Nov 2023 03:00:53.437,1213.510
120,23 Nov 2023 04:37:50.496,23 Nov 2023 05:06:42.755,1732.259
121,23 Nov 2023 06:37:50.939,23 Nov 2023 07:10:07.928,1936.989
122,23 Nov 2023 08:39:37.484,23 Nov 2023 09:11:59.385,1941.902
123,23 Nov 2023 10:42:59.261,23 Nov 2023 11:11:54.049,1734.789
124,23 Nov 2023 12:49:19.150,23 Nov 2023 13:08:30.575,1151.425
125,24 Nov 2023 01:29:42.282,24 Nov 2023 01:38:35.189,532.907
126,24 Nov 2023 03:23:14.726,24 Nov 2023 03:47:59.158,1484.433
127,24 Nov 2023 05:21:57.514,24 Nov 2023 05:52:28.193,1830.678
128,24 Nov 2023 07:22:43.622,24 Nov 2023 07:55:18.185,1954.563
129,24 Nov 2023 09:25:02.577,24 Nov 2023 09:56:26.034,1883.457
130,24 Nov 2023 11:29:19.678,24 Nov 2023 11:55:06.275,1546.597
131,24 Nov 2023 13:41:42.610,24 Nov 2023 13:45:52.297,249.687
132,25 Nov 2023 02:09:37.753,25 Nov 2023 02:28:07.261,1109.508
133,25 Nov 2023 04:06:38.007,25 Nov 2023 04:34:03.457,1645.450
134,25 Nov 2023 06:06:20.120,25 Nov 2023 06:37:48.393,1888.273
135,25 Nov 2023 08:07:41.151,25 Nov 2023 08:40:01.821,1940.670
136,25 Nov 2023 10:10:37.336,25 Nov 2023 10:40:12.371,1775.034
137,25 Nov 2023 12:16:43.224,25 Nov 2023 12:36:55.002,1211.777
138,26 Nov 2023 00:58:55.641,26 Nov 2023 01:05:11.986,376.345
139,26 Nov 2023 02:51:57.406,26 Nov 2023 03:14:52.768,1375.362
140,26 Nov 2023 04:50:26.649,26 Nov 2023 05:19:33.926,1747.277
141,26 Nov 2023 06:50:50.886,26 Nov 2023 07:22:44.960,1914.074
142,26 Nov 2023 08:52:43.264,26 Nov 2023 09:24:12.404,1889.140
143,26 Nov 2023 10:56:37.987,26 Nov 2023 11:23:04.431,1586.444
144,26 Nov 2023 13:08:50.840,26 Nov 2023 13:13:56.564,305.724
